_id,total
"{""url"": ""www.gulte.com""}",121
"{""url"": ""www.greaterkashmir.com""}",51
"{""url"": ""www.foxnews.com""}",3
"{""url"": ""www.freep.com""}",1
"{""url"": ""www.cruisecritic.com""}",1
"{""url"": ""starofmysore.com""}",3
"{""url"": ""www.irishtimes.com""}",4
"{""url"": ""www.latestly.com""}",4
"{""url"": ""timesofindia.indiatimes.com""}",5137
"{""url"": ""www.dsij.in""}",28
"{""url"": ""www.geekwire.com""}",2
"{""url"": ""m.gulf-times.com""}",1
"{""url"": ""www.thelocal.it""}",1
"{""url"": ""www.stuff.co.nz""}",3
"{""url"": ""www.arabianbusiness.com""}",3
"{""url"": ""www.essentiallysports.com""}",9
"{""url"": ""newsonair.com""}",13
"{""url"": ""emirateswoman.com""}",1
"{""url"": ""www.indiaglitz.com""}",13
"{""url"": ""www.arnnet.com.au""}",5
"{""url"": ""uk.reuters.com""}",9
"{""url"": ""www.globenewswire.com""}",8
"{""url"": ""beebom.com""}",42
"{""url"": ""news.cgtn.com""}",110
"{""url"": ""fit.thequint.com""}",8
"{""url"": ""decrypt.co""}",11
"{""url"": ""www.cbsnews.com""}",8
"{""url"": ""www.jagranjosh.com""}",19
"{""url"": ""www.techrepublic.com""}",4
"{""url"": ""www.morningstar.in""}",4
"{""url"": ""fortune.com""}",21
"{""url"": ""auto.economictimes.indiatimes.com""}",320
"{""url"": ""i.dawn.com""}",8
"{""url"": ""fossbytes.com""}",18
"{""url"": ""www.sammobile.com""}",31
"{""url"": ""www.indianlink.com.au""}",1
"{""url"": ""www.statnews.com""}",9
"{""url"": ""www.schengenvisainfo.com""}",5
"{""url"": ""portswigger.net""}",1
"{""url"": ""betanews.com""}",1
"{""url"": ""saudigazette.com.sa""}",16
"{""url"": ""www.techspot.com""}",17
"{""url"": ""www.thehansindia.com""}",53
"{""url"": ""www.techinasia.com""}",54
"{""url"": ""vitals.lifehacker.com""}",1
"{""url"": ""www.team-bhp.com""}",1178
"{""url"": ""www.rushlane.com""}",2075
"{""url"": ""www.trtworld.com""}",6
"{""url"": ""www.rollingstone.com""}",2
"{""url"": ""www.livebitcoinnews.com""}",1
"{""url"": ""forkast.news""}",15
"{""url"": ""arunachaltimes.in""}",16
"{""url"": ""yourstory.com""}",712
"{""url"": ""www.nytimes.com""}",87
"{""url"": ""urbantransportnews.com""}",1
"{""url"": ""www.siasat.com""}",170
"{""url"": ""nenow.in""}",5
"{""url"": ""www.eonline.com""}",1
"{""url"": ""nairametrics.com""}",3
"{""url"": ""www.phonearena.com""}",31
"{""url"": ""www.itln.in""}",3
"{""url"": ""www.itnews.com.au""}",5
"{""url"": ""www.azcentral.com""}",1
"{""url"": ""www.hongkongfp.com""}",1
"{""url"": ""www.inventiva.co.in""}",21
"{""url"": ""www.bleepingcomputer.com""}",9
"{""url"": ""www.windpowermonthly.com""}",1
"{""url"": ""www.techquila.co.in""}",1
"{""url"": ""beincrypto.com""}",33
"{""url"": ""www.thenational.ae""}",9
